title,developer,content_rating,installs,genre,ad_supported,rating_score,ratings_count,reviews_count,iap_price_range,last_updated
Block Blast!,HungryStudio,Everyone,1000000000,Puzzle,True,4.8540034,5205448,74525,$4.99 - $49.99 per item,1786373140
Royal Match,"Dream Games, Ltd.",Everyone,100000000,Puzzle,False,4.636758,10608043,99765,$0.99 - $99.99 per item,1785505862
Royal Kingdom,"Dream Games, Ltd.",Everyone,100000000,Puzzle,False,4.6183424,2511312,26377,$0.99 - $99.99 per item,1785505771
Plants vs. Zombies™,ELECTRONIC ARTS,Everyone 10+,500000000,Strategy,True,3.7518868,5722698,116749,$0.99 - $7.99 per item,1784698269
Offline Games - No Wifi Games,JindoBlu,Everyone,100000000,Casual,True,4.5972767,480391,14444,$1.99 - $10.99 per item,1785951994
Jigsaw Puzzles - Puzzle Games,Easybrain,Everyone,100000000,Puzzle,True,4.784783,2348528,106894,$0.99 - $14.99 per item,1785508463
Fishdom,Playrix,Everyone,100000000,Puzzle,False,4.610856,6716647,295126,$0.99 - $129.99 per item,1786118812
Temple Run,Imangi Studios,Everyone,500000000,Arcade,True,4.2274704,5144687,324665,$0.99 - $19.99 per item,1783605125
Homescapes,Playrix,Everyone,500000000,Casual,False,4.7283545,13351373,370684,$0.29 - $199.99 per item,1786039939
Candy Crush Soda Saga,King,Everyone,500000000,Casual,True,4.576346,8857323,390361,$0.99 - $149.99 per item,1785514541
Fruit Ninja®,Halfbrick Studios,Everyone,500000000,Arcade,True,4.45313,5336912,212326,$0.99 - $179.99 per item,1785999508
Tiles Hop Music & Ball Game,AMANOTES PTE. LTD.,Everyone 10+,500000000,Music,True,4.30304,3359010,80342,$0.99 - $49.99 per item,1786428309
Galaxiga: Galaxy Arcade Game,1SOFT,Everyone 10+,100000000,Arcade,True,4.7376356,451312,37971,$0.49 - $339.99 per item,1786325714
Pinball Deluxe: Reloaded,Made Of Bits,Everyone,5000000,Arcade,True,4.7118793,93966,8406,$0.99 - $19.99 per item,1782952171
Vita Mahjong,Vita Studio.,Everyone,100000000,Board,True,4.8368163,5937899,66633,$0.99 - $49.99 per item,1786102520
Subway Surfers,SYBO Games,Everyone 10+,1000000000,Arcade,True,4.5514746,41572670,1755644,$0.99 - $99.99 per item,1786093992
Geometry Dash Lite,RobTop Games,Everyone 10+,500000000,Arcade,True,4.4147625,7766118,496687,,1769781830
Royal Smash! - Physics Puzzle,Cypher Games,Everyone,1000000,Casual,True,4.6118836,158834,872,$1.99 - $99.99 per item,1786354926
Amaze GO!,Oakever Games,Everyone,50000000,Puzzle,True,4.6409006,192348,5319,,1786121476
Lemmings: Puzzle Survival,Exient,Everyone 10+,10000000,Puzzle,True,4.1955495,173949,12345,$0.99 - $99.99 per item,1785233732
Cut the Rope,ZeptoLab,Everyone,100000000,Puzzle,True,4.4483986,2696352,93633,$0.49 - $197.99 per item,1786034397
Tile Explorer - Triple Match,Oakever Games,Everyone,100000000,Puzzle,True,4.8815203,2182812,12212,$0.99 - $44.99 per item,1786116253
Best Fiends - Match 3 Puzzles,Playtika,Everyone,50000000,Casual,True,4.6129327,2271909,185279,$0.99 - $99.99 per item,1785998859
Art Puzzle - Puzzle Games,Easybrain,Everyone,100000000,Puzzle,True,4.782398,1868614,42658,$0.99 - $14.99 per item,1784557564
Super Mario Run,"Nintendo Co., Ltd.",Everyone,100000000,Action,False,3.884851,1667505,90643,$9.99 per item,1778576009
